id,original,surface,pronunciation,class,extinct
76,ヤシアマツバメ,ヤシアマツバメ,ヤシアマツバメ,鳥類,no
77,カラシラサギ,カラシラサギ,カラシラサギ,鳥類,no
78,レユニオンシロハラミズナギドリ,レユニオンシロハラミズナギドリ,レユニオンシロハラミズナギドリ,鳥類,no
79,オビオヤマシトド,オビオヤマシトド,オビオヤマシトド,NA,no
80,オビオオオツリスドリ,オビオオオツリスドリ,オビオオオツリスドリ,鳥類,no
81,フジノドテンシハチドリ,フジノドテンシハチドリ,フジノドテンシハチドリ,鳥類,no
82,キンバリースミントプシス,キンバリースミントプシス,キンバリースミントプシス,哺乳類,no
83,キクイタダキ,キクイタダキ,キクイタダキ,鳥類,no
84,スローロリス,スローロリス,スローロリス,NA,no
85,ムジカザリドリ,ムジカザリドリ,ムジカザリドリ,鳥類,no
86,アルジェリアゴジュウカラ,アルジェリアゴジュウカラ,アルジェリアゴジュウカラ,鳥類,no
87,パナマトゲポケットマウス,パナマトゲポケットマウス,パナマトゲポケットマウス,NA,no
88,シシオザル,シシオザル,シシオザル,哺乳類,no
89,アカサンコウチョウ,アカサンコウチョウ,アカサンコウチョウ,鳥類,no
90,ジョンストンジェネット,ジョンストンジェネット,ジョンストンジェネット,NA,no
91,アオバネフウキンチョウ,アオバネフウキンチョウ,アオバネフウキンチョウ,鳥類,no
92,フタオビチドリ,フタオビチドリ,フタオビチドリ,鳥類,no
93,チャイロアオヒヨ,チャイロアオヒヨ,チャイロアオヒヨ,鳥類,no
94,キヌザル,キヌザル,キヌザル,NA,no
95,ノドジロハチマキミツスイ,ノドジロハチマキミツスイ,ノドジロハチマキミツスイ,鳥類,no
96,ミミナシミズネズミ,ミミナシミズネズミ,ミミナシミズネズミ,NA,no
97,チャイロニワシドリ,チャイロニワシドリ,チャイロニワシドリ,鳥類,no
98,オリーブフサボウシハエトリ,オリーブフサボウシハエトリ,オリーブフサボウシハエトリ,鳥類,no
99,マダガスカルミヤマムシクイ,マダガスカルミヤマムシクイ,マダガスカルミヤマムシクイ,鳥類,no
100,マユジロショウドウツバメ,マユジロショウドウツバメ,マユジロショウドウツバメ,NA,no
101,ツツドリ,ツツドリ,ツツドリ,鳥類,no
102,ティエンシャントガリネズミ,ティエンシャントガリネズミ,ティエンシャントガリネズミ,NA,no
103,チョウゲンボウ,チョウゲンボウ,チョウゲンボウ,鳥類,no
104,キタオブトイワバネズミ,キタオブトイワバネズミ,キタオブトイワバネズミ,NA,no
105,キンクロカザリドリ,キンクロカザリドリ,キンクロカザリドリ,鳥類,no
106,アメリカナキウサギ,アメリカナキウサギ,アメリカナキウサギ,NA,no
107,ノドジロオマキザル,ノドジロオマキザル,ノドジロオマキザル,哺乳類,no
108,ミズテンレック,ミズテンレック,ミズテンレック,NA,no
109,ベニハワイミツスイ,ベニハワイミツスイ,ベニハワイミツスイ,鳥類,no
110,ズグロオビロインコ,ズグロオビロインコ,ズグロオビロインコ,鳥類,no
111,ミズベトガリネズミ,ミズベトガリネズミ,ミズベトガリネズミ,哺乳類,no
112,チビタイランチョウ,チビタイランチョウ,チビタイランチョウ,鳥類,no
113,ウスヒメドリ,ウスヒメドリ,ウスヒメドリ,鳥類,no
114,シロガシラツクシガモ,シロガシラツクシガモ,シロガシラツクシガモ,鳥類,no
115,ヒメヤチネズミ,ヒメヤチネズミ,ヒメヤチネズミ,哺乳類,no
116,チャイロキンバト,チャイロキンバト,チャイロキンバト,鳥類,no
117,フタスジアメリカムシクイ,フタスジアメリカムシクイ,フタスジアメリカムシクイ,鳥類,no
118,ハイズキンフウキンチョウ,ハイズキンフウキンチョウ,ハイズキンフウキンチョウ,鳥類,no
119,ナンベイレンカク,ナンベイレンカク,ナンベイレンカク,鳥類,no
120,タケネズミ,タケネズミ,タケネズミ,哺乳類,no
121,ヒメオマキマウス,ヒメオマキマウス,ヒメオマキマウス,NA,no
122,マスコットコトンラット,マスコットコトンラット,マスコットコトンラット,NA,no
123,ヒロバアカネズミ,ヒロバアカネズミ,ヒロバアカネズミ,NA,no
124,スティーブンズウッドラット,スティーブンズウッドラット,スティーブンズウッドラット,NA,no
125,ヌマガレイ,ヌマガレイ,ヌマガレイ,魚類,no
126,アホロートル,アホロートル,アホロートル,NA,no
127,オオカワウソ,オオカワウソ,オオカワウソ,哺乳類,no
128,アオボウシフウキンチョウ,アオボウシフウキンチョウ,アオボウシフウキンチョウ,鳥類,no
129,シマゴマ,シマゴマ,シマゴマ,鳥類,no
130,オナガバト,オナガバト,オナガバト,鳥類,no
131,ススイロホップマウス,ススイロホップマウス,ススイロホップマウス,NA,no
132,コガネメキシコインコ,コガネメキシコインコ,コガネメキシコインコ,鳥類,no
133,アオバコバシガン,アオバコバシガン,アオバコバシガン,鳥類,no
134,アカカンガルー,アカカンガルー,アカカンガルー,哺乳類,no
135,ズアカサザイ,ズアカサザイ,ズアカサザイ,鳥類,no
136,ズグロオオコノハズク,ズグロオオコノハズク,ズグロオオコノハズク,鳥類,no
137,ヒグマ,ヒグマ,ヒグマ,哺乳類,no
138,バラエリキヌバネドリ,バラエリキヌバネドリ,バラエリキヌバネドリ,鳥類,no
139,オナガキンセイチョウ,オナガキンセイチョウ,オナガキンセイチョウ,鳥類,no
140,ザンビアジネズミ,ザンビアジネズミ,ザンビアジネズミ,NA,no
141,オオサイチョウ,オオサイチョウ,オオサイチョウ,鳥類,no
142,セグロヤブモズ,セグロヤブモズ,セグロヤブモズ,鳥類,no
143,フランソワリーフモンキー,フランソワリーフモンキー,フランソワリーフモンキー,NA,no
144,アメリカオグロシギ,アメリカオグロシギ,アメリカオグロシギ,鳥類,no
145,ススイロカトリタイランチョウ,ススイロカトリタイランチョウ,ススイロカトリタイランチョウ,鳥類,no
146,ミナミアサギアメリカムシクイ,ミナミアサギアメリカムシクイ,ミナミアサギアメリカムシクイ,鳥類,no
147,ハシナガタイランチョウ,ハシナガタイランチョウ,ハシナガタイランチョウ,鳥類,no
148,ボウズハゼ,ボウズハゼ,ボウズハゼ,魚類,no
149,コシジロウズラシギ,コシジロウズラシギ,コシジロウズラシギ,鳥類,no
150,ヤブスズメモドキ,ヤブスズメモドキ,ヤブスズメモドキ,鳥類,no
151,マミジロマルハシ,マミジロマルハシ,マミジロマルハシ,鳥類,no
152,コムナボシキミミミツスイ,コムナボシキミミミツスイ,コムナボシキミミミツスイ,鳥類,no
153,コビトマイコドリ,コビトマイコドリ,コビトマイコドリ,鳥類,no
154,アカガシラシトド,アカガシラシトド,アカガシラシトド,鳥類,no
155,ダイサギ,ダイサギ,ダイサギ,鳥類,no
156,ウスグロアオヒヨ,ウスグロアオヒヨ,ウスグロアオヒヨ,鳥類,no
157,コバシムシクイ,コバシムシクイ,コバシムシクイ,鳥類,no
158,コガラパゴスフィンチ,コガラパゴスフィンチ,コガラパゴスフィンチ,鳥類,no
159,ズグロムシクイカマドドリ,ズグロムシクイカマドドリ,ズグロムシクイカマドドリ,鳥類,no
160,コバシカンムリヒバリ,コバシカンムリヒバリ,コバシカンムリヒバリ,鳥類,no
161,ドードー,ドードー,ドードー,鳥類,yes
162,オオハダカオネズミ,オオハダカオネズミ,オオハダカオネズミ,哺乳類,no
163,チビオオニネズミ,チビオオニネズミ,チビオオニネズミ,NA,no
164,アフリカサンコウチョウ,アフリカサンコウチョウ,アフリカサンコウチョウ,鳥類,no
165,シマキンパラ,シマキンパラ,シマキンパラ,鳥類,no
166,アカガタテリムク,アカガタテリムク,アカガタテリムク,鳥類,no
167,ズグロツバメ,ズグロツバメ,ズグロツバメ,NA,no
168,オポッサム,オポッサム,オポッサム,NA,no
169,ツノハシフウチョウモドキ,ツノハシフウチョウモドキ,ツノハシフウチョウモドキ,鳥類,no
170,ハタネズミ,ハタネズミ,ハタネズミ,哺乳類,no
171,コバシハワイミツスイ,コバシハワイミツスイ,コバシハワイミツスイ,鳥類,no
172,マヨットオウチュウ,マヨットオウチュウ,マヨットオウチュウ,鳥類,no
173,ニシオオヨシキリ,ニシオオヨシキリ,ニシオオヨシキリ,鳥類,no
174,ベネズエラグイラトゲネズミ,ベネズエラグイラトゲネズミ,ベネズエラグイラトゲネズミ,NA,no
175,マルハシツグミモドキ,マルハシツグミモドキ,マルハシツグミモドキ,鳥類,no
176,カオグロミドリカザリドリ,カオグロミドリカザリドリ,カオグロミドリカザリドリ,鳥類,no
177,ミツスイ,ミツスイ,ミツスイ,鳥類,no
178,セミドリモズヒタキ,セミドリモズヒタキ,セミドリモズヒタキ,鳥類,no
179,アメリカ,アメリカ,アメリカ,NA,no
180,カゲロウチョウ,カゲロウチョウ,カゲロウチョウ,鳥類,no
181,ノドアカアメリカムシクイ,ノドアカアメリカムシクイ,ノドアカアメリカムシクイ,鳥類,no
182,サボテンフクロウ,サボテンフクロウ,サボテンフクロウ,鳥類,no
183,アカオオナガアリドリ,アカオオナガアリドリ,アカオオナガアリドリ,鳥類,no
