id,original,surface,pronunciation,class,extinct
3443,チャガシラハチマキミツスイ,チャガシラハチマキミツスイ,チャガシラハチマキミツスイ,鳥類,no
3444,ズグロハグロキヌバネドリ,ズグロハグロキヌバネドリ,ズグロハグロキヌバネドリ,鳥類,no
3445,アカマウスオポッサム,アカマウスオポッサム,アカマウスオポッサム,NA,no
3446,クロアシウッドラット,クロアシウッドラット,クロアシウッドラット,NA,no
3447,クリハシオオハシ,クリハシオオハシ,クリハシオオハシ,NA,no
3448,ニオイネズミカンガルー,ニオイネズミカンガルー,ニオイネズミカンガルー,NA,no
3449,シャチ,シャチ,シャチ,哺乳類,no
3450,オオケナシフルーツコウモリ,オオケナシフルーツコウモリ,オオケナシフルーツコウモリ,NA,no
3451,ハイバラメジロ,ハイバラメジロ,ハイバラメジロ,鳥類,no
3452,ペルシアミズナギドリ,ペルシアミズナギドリ,ペルシアミズナギドリ,鳥類,no
3453,プレーリードッグ,プレーリードッグ,プレーリードッグ,NA,no
3454,エリマキライチョウ,エリマキライチョウ,エリマキライチョウ,鳥類,no
3455,ブチクスクス,ブチクスクス,ブチクスクス,哺乳類,no
3456,シマハッカン,シマハッカン,シマハッカン,鳥類,no
3457,アカショウビン,アカショウビン,アカショウビン,鳥類,no
3458,オジロレイヨウジリス,オジロレイヨウジリス,オジロレイヨウジリス,NA,no
3459,アカガタインコ,アカガタインコ,アカガタインコ,鳥類,no
3460,メンガタアメリカムシクイ,メンガタアメリカムシクイ,メンガタアメリカムシクイ,鳥類,no
3461,キエリテン,キエリテン,キエリテン,哺乳類,no
3462,スズキ,スズキ,スズキ,魚類,no
3463,シュモクドリ,シュモクドリ,シュモクドリ,鳥類,no
3464,セアカオーストラリアムシクイ,セアカオーストラリアムシクイ,セアカオーストラリアムシクイ,鳥類,no
3465,コゲチャヤブワラビー,コゲチャヤブワラビー,コゲチャヤブワラビー,哺乳類,no
3466,ヒロガオネズミカンガルー,ヒロガオネズミカンガルー,ヒロガオネズミカンガルー,哺乳類,yes
3467,ヒバリカマドドリ,ヒバリカマドドリ,ヒバリカマドドリ,鳥類,no
3468,キホオカザリドリモドキ,キホオカザリドリモドキ,キホオカザリドリモドキ,鳥類,no
3469,マダガスカルチョウゲンボウ,マダガスカルチョウゲンボウ,マダガスカルチョウゲンボウ,鳥類,no
3470,ジブッポウソウ,ジブッポウソウ,ジブッポウソウ,鳥類,no
3471,サヨリ,サヨリ,サヨリ,魚類,no
3472,ウミオウム,ウミオウム,ウミオウム,鳥類,no
3473,カナダレミング,カナダレミング,カナダレミング,哺乳類,no
3474,ツノサケビドリ,ツノサケビドリ,ツノサケビドリ,鳥類,no
3475,キビタイシメ,キビタイシメ,キビタイシメ,鳥類,no
3476,マイルカ,マイルカ,マイルカ,NA,no
3477,シロスジミツスイ,シロスジミツスイ,シロスジミツスイ,鳥類,no
3478,シロハラキイロカナリア,シロハラキイロカナリア,シロハラキイロカナリア,鳥類,no
3479,コシジロフウキンチョウ,コシジロフウキンチョウ,コシジロフウキンチョウ,鳥類,no
3480,オオゴシキタイヨウチョウ,オオゴシキタイヨウチョウ,オオゴシキタイヨウチョウ,鳥類,no
3481,ワキアカトウヒチョウ,ワキアカトウヒチョウ,ワキアカトウヒチョウ,鳥類,no
3482,キボシコゴシキドリ,キボシコゴシキドリ,キボシコゴシキドリ,鳥類,no
3483,シロハシオニキバシリ,シロハシオニキバシリ,シロハシオニキバシリ,鳥類,no
3484,ペルーパラモネズミ,ペルーパラモネズミ,ペルーパラモネズミ,NA,no
3485,アカズキンフウキンチョウ,アカズキンフウキンチョウ,アカズキンフウキンチョウ,鳥類,no
3486,シマベニスズメ,シマベニスズメ,シマベニスズメ,鳥類,no
3487,クロガオハイイロエボシドリ,クロガオハイイロエボシドリ,クロガオハイイロエボシドリ,鳥類,no
3488,チャイロコトンラット,チャイロコトンラット,チャイロコトンラット,NA,no
3489,ハイガシラアフリカヒロハシ,ハイガシラアフリカヒロハシ,ハイガシラアフリカヒロハシ,鳥類,no
3490,シロボシガビチョウ,シロボシガビチョウ,シロボシガビチョウ,鳥類,no
3491,ゴルドマンウッドラット,ゴルドマンウッドラット,ゴルドマンウッドラット,NA,no
3492,ソマリーヤブモズ,ソマリーヤブモズ,ソマリーヤブモズ,鳥類,no
3493,アジアヤシアマツバメ,アジアヤシアマツバメ,アジアヤシアマツバメ,鳥類,no
3494,カマバネシャクケイ,カマバネシャクケイ,カマバネシャクケイ,鳥類,no
3495,スジハラスミレインコ,スジハラスミレインコ,スジハラスミレインコ,鳥類,no
3496,イイズナ,イイズナ,イイズナ,哺乳類,no
3497,ハジロカイツブリ,ハジロカイツブリ,ハジロカイツブリ,鳥類,no
3498,ロウニンアジ,ロウニンアジ,ロウニンアジ,魚類,no
3499,サントメウロコツグミ,サントメウロコツグミ,サントメウロコツグミ,鳥類,no
3500,チャイロコミミバンディクート,チャイロコミミバンディクート,チャイロコミミバンディクート,哺乳類,no
3501,ユキウサギ,ユキウサギ,ユキウサギ,哺乳類,no
3502,カスピアセッケイ,カスピアセッケイ,カスピアセッケイ,鳥類,no
3503,アカカンムリカザリドリ,アカカンムリカザリドリ,アカカンムリカザリドリ,鳥類,no
3504,マミジロモリツバメ,マミジロモリツバメ,マミジロモリツバメ,鳥類,no
3505,コオバシギ,コオバシギ,コオバシギ,鳥類,no
3506,クシマンセ,クシマンセ,クシマンセ,哺乳類,no
3507,エンビモリハチドリ,エンビモリハチドリ,エンビモリハチドリ,鳥類,no
3508,アカジネズミ,アカジネズミ,アカジネズミ,NA,no
3509,ズアカムジヒタキ,ズアカムジヒタキ,ズアカムジヒタキ,鳥類,no
3510,アカアシカマドドリ,アカアシカマドドリ,アカアシカマドドリ,鳥類,no
3511,ブラジルヒメシャクケイ,ブラジルヒメシャクケイ,ブラジルヒメシャクケイ,鳥類,no
3512,メリケンキアシシギ,メリケンキアシシギ,メリケンキアシシギ,鳥類,no
3513,ゴルドマンコミミトガリネズミ,ゴルドマンコミミトガリネズミ,ゴルドマンコミミトガリネズミ,NA,no
3514,イボイノシシ,イボイノシシ,イボイノシシ,哺乳類,no
3515,ヒメレンカク,ヒメレンカク,ヒメレンカク,鳥類,no
3516,アカバトガリネズミ,アカバトガリネズミ,アカバトガリネズミ,NA,no
3517,アンデスヤママウス,アンデスヤママウス,アンデスヤママウス,NA,no
3518,オナガコメネズミ,オナガコメネズミ,オナガコメネズミ,NA,no
3519,シマヘビ,シマヘビ,シマヘビ,爬虫類,no
3520,アフリカタケネズミ,アフリカタケネズミ,アフリカタケネズミ,NA,no
3521,ヒゲクサムシクイ,ヒゲクサムシクイ,ヒゲクサムシクイ,鳥類,no
3522,チョウセンイタチ,チョウセンイタチ,チョウセンイタチ,哺乳類,no
3523,シロフサニジハチドリ,シロフサニジハチドリ,シロフサニジハチドリ,鳥類,no
3524,ハグロカササギビタキ,ハグロカササギビタキ,ハグロカササギビタキ,鳥類,no
3525,シロガシラトビ,シロガシラトビ,シロガシラトビ,鳥類,no
3526,キカタインコ,キカタインコ,キカタインコ,鳥類,no
3527,ヤマアラシ,ヤマアラシ,ヤマアラシ,NA,no
3528,ハイイロエボシドリ,ハイイロエボシドリ,ハイイロエボシドリ,鳥類,no
3529,ミフウズラ,ミフウズラ,ミフウズラ,鳥類,no
3530,サカツラガン,サカツラガン,サカツラガン,鳥類,no
3531,アフリカキヌバネドリ,アフリカキヌバネドリ,アフリカキヌバネドリ,鳥類,no
3532,フサオマキザル,フサオマキザル,フサオマキザル,哺乳類,no
3533,アカケアシノスリ,アカケアシノスリ,アカケアシノスリ,鳥類,no
3534,マデイラミズナギドリ,マデイラミズナギドリ,マデイラミズナギドリ,鳥類,no
3535,アカボシミツスイ,アカボシミツスイ,アカボシミツスイ,鳥類,no
3536,ハシボソキミミミツスイ,ハシボソキミミミツスイ,ハシボソキミミミツスイ,鳥類,no
3537,シロギス,シロギス,シロギス,魚類,no
3538,ベニマユフウキンチョウ,ベニマユフウキンチョウ,ベニマユフウキンチョウ,鳥類,no
3539,アオバネヤマフウキンチョウ,アオバネヤマフウキンチョウ,アオバネヤマフウキンチョウ,鳥類,no
3540,ヒガシチビオジネズミオポッサム,ヒガシチビオジネズミオポッサム,ヒガシチビオジネズミオポッサム,NA,no
3541,アンデスリス,アンデスリス,アンデスリス,哺乳類,no
3542,オオバタン,オオバタン,オオバタン,鳥類,no
3543,コバナフルーツコウモリ,コバナフルーツコウモリ,コバナフルーツコウモリ,NA,no
3544,テンジクネズミ,テンジクネズミ,テンジクネズミ,NA,no
3545,ブッポウソウ,ブッポウソウ,ブッポウソウ,鳥類,no
3546,ヒメアフリカアオゲラ,ヒメアフリカアオゲラ,ヒメアフリカアオゲラ,鳥類,no
3547,キヌゲネズミ,キヌゲネズミ,キヌゲネズミ,NA,no
3548,ムジタヒバリ,ムジタヒバリ,ムジタヒバリ,鳥類,no
3549,イチモンジタナゴ,イチモンジタナゴ,イチモンジタナゴ,魚類,no
3550,アオムネカワセミ,アオムネカワセミ,アオムネカワセミ,鳥類,no
3551,ハナナガリス,ハナナガリス,ハナナガリス,NA,no
3552,マダガスカルハチクイ,マダガスカルハチクイ,マダガスカルハチクイ,鳥類,no
3553,オリーブオウギセッカ,オリーブオウギセッカ,オリーブオウギセッカ,鳥類,no
3554,キハシオオハシ,キハシオオハシ,キハシオオハシ,NA,no
3555,トクモンキー,トクモンキー,トクモンキー,哺乳類,no
3556,キガタホウオウ,キガタホウオウ,キガタホウオウ,鳥類,no
3557,ナナクサインコ,ナナクサインコ,ナナクサインコ,鳥類,no
3558,クサフグ,クサフグ,クサフグ,魚類,no
3559,プエルトリコヒメエメラルドハチドリ,プエルトリコヒメエメラルドハチドリ,プエルトリコヒメエメラルドハチドリ,鳥類,no
3560,タイセイヨウサケ,タイセイヨウサケ,タイセイヨウサケ,魚類,no
3561,クラークカイツブリ,クラークカイツブリ,クラークカイツブリ,鳥類,no
3562,マメミツオシエ,マメミツオシエ,マメミツオシエ,鳥類,no
3563,ムース,ムース,ムース,NA,no
3564,ヒゲヒヨドリ,ヒゲヒヨドリ,ヒゲヒヨドリ,鳥類,no
3565,シロカモメ,シロカモメ,シロカモメ,鳥類,no
3566,カニクイザル,カニクイザル,カニクイザル,哺乳類,no
3567,オジロトビ,オジロトビ,オジロトビ,鳥類,no
3568,オオユミハシハチドリ,オオユミハシハチドリ,オオユミハシハチドリ,鳥類,no
3569,バフイロフウキンチョウ,バフイロフウキンチョウ,バフイロフウキンチョウ,鳥類,no
3570,アオミミショウビン,アオミミショウビン,アオミミショウビン,鳥類,no
3571,サントーメクビワフルーツコウモリ,サントーメクビワフルーツコウモリ,サントーメクビワフルーツコウモリ,NA,no
3572,トサカムクドリ,トサカムクドリ,トサカムクドリ,鳥類,no
3573,パプアヤブヒタキ,パプアヤブヒタキ,パプアヤブヒタキ,鳥類,no
3574,アライソシギ,アライソシギ,アライソシギ,鳥類,no
3575,セアカオオツリスドリ,セアカオオツリスドリ,セアカオオツリスドリ,鳥類,no
3576,ムナジロムクドリ,ムナジロムクドリ,ムナジロムクドリ,NA,no
3577,アザラヤチマウス,アザラヤチマウス,アザラヤチマウス,NA,no
3578,カワスズメ,カワスズメ,カワスズメ,魚類,no
3579,ティエンシャンオナガネズミ,ティエンシャンオナガネズミ,ティエンシャンオナガネズミ,NA,no
3580,シラボシヤブコマ,シラボシヤブコマ,シラボシヤブコマ,鳥類,no
3581,ハイイロモズツグミ,ハイイロモズツグミ,ハイイロモズツグミ,鳥類,no
3582,アケボノインコ,アケボノインコ,アケボノインコ,鳥類,no
3583,キガシラアオハシインコ,キガシラアオハシインコ,キガシラアオハシインコ,鳥類,no
3584,ソリハシカマドドリ,ソリハシカマドドリ,ソリハシカマドドリ,鳥類,no
3585,シロクロオオタカ,シロクロオオタカ,シロクロオオタカ,鳥類,no
3586,オナガホッキョクジリス,オナガホッキョクジリス,オナガホッキョクジリス,哺乳類,no
3587,ムナグロアカハラ,ムナグロアカハラ,ムナグロアカハラ,鳥類,no
3588,ノドグロヒタキ,ノドグロヒタキ,ノドグロヒタキ,鳥類,no
3589,マミチャジナイ,マミチャジナイ,マミチャジナイ,鳥類,no
3590,タイヘイヨウトビハツカネズミ,タイヘイヨウトビハツカネズミ,タイヘイヨウトビハツカネズミ,NA,no
3591,ハッカチョウ,ハッカチョウ,ハッカチョウ,鳥類,no
3592,チワワシロアシマウス,チワワシロアシマウス,チワワシロアシマウス,NA,no
3593,サザナミインコ,サザナミインコ,サザナミインコ,鳥類,no
3594,ズグロシルスイキツツキ,ズグロシルスイキツツキ,ズグロシルスイキツツキ,鳥類,no
3595,フエコチドリ,フエコチドリ,フエコチドリ,鳥類,no
3596,タイリクヤチネズミ,タイリクヤチネズミ,タイリクヤチネズミ,哺乳類,no
3597,モリショウビン,モリショウビン,モリショウビン,鳥類,no
3598,オオホリネズミ,オオホリネズミ,オオホリネズミ,NA,no
3599,チャイロヤブチメドリ,チャイロヤブチメドリ,チャイロヤブチメドリ,鳥類,no
3600,ズグロヤブモズ,ズグロヤブモズ,ズグロヤブモズ,鳥類,no
3601,ムナジロツグミモドキ,ムナジロツグミモドキ,ムナジロツグミモドキ,鳥類,no
3602,ハイガシラヒゲヒヨドリ,ハイガシラヒゲヒヨドリ,ハイガシラヒゲヒヨドリ,鳥類,no
3603,ユキヒメドリ,ユキヒメドリ,ユキヒメドリ,鳥類,no
3604,ハイイロアグーチ,ハイイロアグーチ,ハイイロアグーチ,哺乳類,no
3605,アオフウキンチョウ,アオフウキンチョウ,アオフウキンチョウ,鳥類,no
3606,ムナジロオオサンショウクイ,ムナジロオオサンショウクイ,ムナジロオオサンショウクイ,鳥類,no
3607,キタオオサボテンミソサザイ,キタオオサボテンミソサザイ,キタオオサボテンミソサザイ,鳥類,no
3608,カワリモリモズ,カワリモリモズ,カワリモリモズ,鳥類,no
3609,ムジカマハシカマドドリ,ムジカマハシカマドドリ,ムジカマハシカマドドリ,NA,no
3610,シリケンイモリ,シリケンイモリ,シリケンイモリ,両生類,no
3611,ニューギニアオオネズミ,ニューギニアオオネズミ,ニューギニアオオネズミ,NA,no
3612,ミンダナオオオサンショウクイ,ミンダナオオオサンショウクイ,ミンダナオオオサンショウクイ,NA,no
3613,ネルソントゲオヒメドリ,ネルソントゲオヒメドリ,ネルソントゲオヒメドリ,鳥類,no
3614,ヒメビロードフルーツコウモリ,ヒメビロードフルーツコウモリ,ヒメビロードフルーツコウモリ,NA,no
3615,タテフカナリア,タテフカナリア,タテフカナリア,鳥類,no
3616,アメリカハタネズミ,アメリカハタネズミ,アメリカハタネズミ,哺乳類,no
3617,ニシヒメアマツバメ,ニシヒメアマツバメ,ニシヒメアマツバメ,鳥類,no
3618,ケナガクモザル,ケナガクモザル,ケナガクモザル,哺乳類,no
3619,ジャワツパイ,ジャワツパイ,ジャワツパイ,哺乳類,no
3620,マカロニペンギン,マカロニペンギン,マカロニペンギン,鳥類,no
3621,ハイムネジチメドリ,ハイムネジチメドリ,ハイムネジチメドリ,鳥類,no
3622,キノドムシクイヒヨ,キノドムシクイヒヨ,キノドムシクイヒヨ,鳥類,no
3623,ハイボウシヒメジアリドリ,ハイボウシヒメジアリドリ,ハイボウシヒメジアリドリ,鳥類,no
3624,オリーブタイヨウチョウ,オリーブタイヨウチョウ,オリーブタイヨウチョウ,鳥類,no
3625,アカギクタイランチョウ,アカギクタイランチョウ,アカギクタイランチョウ,鳥類,no
3626,キバシオナガモズ,キバシオナガモズ,キバシオナガモズ,鳥類,no
3627,ジャコウネコ,ジャコウネコ,ジャコウネコ,NA,no
3628,ヒメイワワラビー,ヒメイワワラビー,ヒメイワワラビー,哺乳類,no
3629,ノコハシハチドリ,ノコハシハチドリ,ノコハシハチドリ,鳥類,no
3630,チャバネジカマドドリ,チャバネジカマドドリ,チャバネジカマドドリ,鳥類,no
3631,パラステングフルーツコウモリ,パラステングフルーツコウモリ,パラステングフルーツコウモリ,NA,no
3632,サケイ,サケイ,サケイ,鳥類,no
3633,ズアオキヌバネドリ,ズアオキヌバネドリ,ズアオキヌバネドリ,鳥類,no
3634,セレベスハチクイ,セレベスハチクイ,セレベスハチクイ,鳥類,no
3635,ギンミドリフウキンチョウ,ギンミドリフウキンチョウ,ギンミドリフウキンチョウ,鳥類,no
3636,オーストラリアアナツバメ,オーストラリアアナツバメ,オーストラリアアナツバメ,鳥類,no
3637,アカミミガメ,アカミミガメ,アカミミガメ,爬虫類,no
3638,カマハシハチドリ,カマハシハチドリ,カマハシハチドリ,鳥類,no
3639,フイジームシクイ,フイジームシクイ,フイジームシクイ,NA,no
3640,キイロヒゲヒヨドリ,キイロヒゲヒヨドリ,キイロヒゲヒヨドリ,鳥類,no
3641,タンチョウ,タンチョウ,タンチョウ,鳥類,no
3642,オオミミコウザンネズミ,オオミミコウザンネズミ,オオミミコウザンネズミ,NA,no
3643,ユビナガフクロシマリス,ユビナガフクロシマリス,ユビナガフクロシマリス,NA,no
3644,ミドリバンケン,ミドリバンケン,ミドリバンケン,鳥類,no
3645,コルロネズミ,コルロネズミ,コルロネズミ,NA,no
3646,ハイビタイシャコバト,ハイビタイシャコバト,ハイビタイシャコバト,鳥類,no
3647,ユウガアジサシ,ユウガアジサシ,ユウガアジサシ,鳥類,no
3648,カザノワシ,カザノワシ,カザノワシ,鳥類,no
3649,アーベルトリス,アーベルトリス,アーベルトリス,哺乳類,no
3650,ホシワキアカトウヒチョウ,ホシワキアカトウヒチョウ,ホシワキアカトウヒチョウ,鳥類,no
3651,キノドモリフウキンチョウ,キノドモリフウキンチョウ,キノドモリフウキンチョウ,NA,no
3652,ソロモンハナドリ,ソロモンハナドリ,ソロモンハナドリ,鳥類,no
3653,アカキノボリヤチネズミ,アカキノボリヤチネズミ,アカキノボリヤチネズミ,NA,no
3654,ヒメアオゲラ,ヒメアオゲラ,ヒメアオゲラ,鳥類,no
3655,ノドグロムシクイ,ノドグロムシクイ,ノドグロムシクイ,鳥類,no
3656,ミナミコアリクイ,ミナミコアリクイ,ミナミコアリクイ,哺乳類,no
3657,ヒラヨシノボリ,ヒラヨシノボリ,ヒラヨシノボリ,NA,no
3658,ハマダラヒラハシハエトリ,ハマダラヒラハシハエトリ,ハマダラヒラハシハエトリ,鳥類,no
3659,ダマラタケネズミ,ダマラタケネズミ,ダマラタケネズミ,NA,no
3660,メスアカシャコ,メスアカシャコ,メスアカシャコ,鳥類,no
3661,パプアオウギワシ,パプアオウギワシ,パプアオウギワシ,鳥類,no
3662,キバシキンクロシメ,キバシキンクロシメ,キバシキンクロシメ,鳥類,no
3663,ニッケイカザリドリモドキ,ニッケイカザリドリモドキ,ニッケイカザリドリモドキ,鳥類,no
3664,パプアマミムナジロバト,パプアマミムナジロバト,パプアマミムナジロバト,鳥類,no
3665,サンタカタリナシロアシマウス,サンタカタリナシロアシマウス,サンタカタリナシロアシマウス,NA,no
3666,ブロンズトキ,ブロンズトキ,ブロンズトキ,鳥類,no
3667,サバクシマセゲラ,サバクシマセゲラ,サバクシマセゲラ,鳥類,no
3668,カワリヒメシャクケイ,カワリヒメシャクケイ,カワリヒメシャクケイ,鳥類,no
3669,チモールメガネコウライウグイス,チモールメガネコウライウグイス,チモールメガネコウライウグイス,鳥類,no
3670,ノドジロマユシトド,ノドジロマユシトド,ノドジロマユシトド,NA,no
3671,ハシブトペンギン,ハシブトペンギン,ハシブトペンギン,鳥類,no
3672,ラケットヨタカ,ラケットヨタカ,ラケットヨタカ,鳥類,no
3673,ナンベイコマツグミ,ナンベイコマツグミ,ナンベイコマツグミ,鳥類,no
3674,ケープベルデヒメミズナギドリ,ケープベルデヒメミズナギドリ,ケープベルデヒメミズナギドリ,鳥類,no
3675,キバシカササギ,キバシカササギ,キバシカササギ,鳥類,no
3676,ミミグロハタオリ,ミミグロハタオリ,ミミグロハタオリ,鳥類,no
3677,キューバアメリカムシクイ,キューバアメリカムシクイ,キューバアメリカムシクイ,鳥類,no
3678,ホワイトヘッドスンダトゲネズミ,ホワイトヘッドスンダトゲネズミ,ホワイトヘッドスンダトゲネズミ,NA,no
3679,ハジロラッパチョウ,ハジロラッパチョウ,ハジロラッパチョウ,鳥類,no
3680,ウスズミモリツバメ,ウスズミモリツバメ,ウスズミモリツバメ,鳥類,no
3681,アカモグリマウス,アカモグリマウス,アカモグリマウス,NA,no
3682,ムジスナヒバリ,ムジスナヒバリ,ムジスナヒバリ,鳥類,no
3683,フタスジヤブコマドリ,フタスジヤブコマドリ,フタスジヤブコマドリ,鳥類,no
3684,ハジロマユヒタキ,ハジロマユヒタキ,ハジロマユヒタキ,鳥類,no
3685,キタコビトマウス,キタコビトマウス,キタコビトマウス,NA,no
3686,ココノオビアルマジロ,ココノオビアルマジロ,ココノオビアルマジロ,哺乳類,no
3687,キセキレイ,キセキレイ,キセキレイ,鳥類,no
3688,ホシジリス,ホシジリス,ホシジリス,哺乳類,no
3689,ラット,ラット,ラット,NA,no
3690,オリーブウタムシクイ,オリーブウタムシクイ,オリーブウタムシクイ,鳥類,no
3691,キクイタダキアメリカムシクイ,キクイタダキアメリカムシクイ,キクイタダキアメリカムシクイ,鳥類,no
3692,マツテン,マツテン,マツテン,哺乳類,no
3693,ペルシャウ,ペルシャウ,ペルシャウ,鳥類,no
3694,ハイガシラアリドリ,ハイガシラアリドリ,ハイガシラアリドリ,鳥類,no
3695,オリーブシトド,オリーブシトド,オリーブシトド,鳥類,no
3696,セレベスヤマヒタキ,セレベスヤマヒタキ,セレベスヤマヒタキ,鳥類,no
3697,チャイロエボシカマドドリ,チャイロエボシカマドドリ,チャイロエボシカマドドリ,鳥類,no
3698,マルハシタイランチョウ,マルハシタイランチョウ,マルハシタイランチョウ,鳥類,no
3699,ヒメミドリヒヨドリ,ヒメミドリヒヨドリ,ヒメミドリヒヨドリ,鳥類,no
3700,アンデスガン,アンデスガン,アンデスガン,鳥類,no
3701,フクロシマリス,フクロシマリス,フクロシマリス,哺乳類,no
3702,チュウノガン,チュウノガン,チュウノガン,鳥類,no
3703,オオアシヌマネズミ,オオアシヌマネズミ,オオアシヌマネズミ,NA,no
3704,アシカ,アシカ,アシカ,哺乳類,yes
3705,ホオグロスズメ,ホオグロスズメ,ホオグロスズメ,鳥類,no
3706,ケーマンアメリカムシクイ,ケーマンアメリカムシクイ,ケーマンアメリカムシクイ,鳥類,no
3707,イソシギ,イソシギ,イソシギ,鳥類,no
3708,ムラサキボウシインコ,ムラサキボウシインコ,ムラサキボウシインコ,鳥類,no
3709,チャガシラヒメドリ,チャガシラヒメドリ,チャガシラヒメドリ,鳥類,no
3710,エダハシゴシキドリ,エダハシゴシキドリ,エダハシゴシキドリ,鳥類,no
3711,ナキヒタキモドキ,ナキヒタキモドキ,ナキヒタキモドキ,鳥類,no
3712,オトメズグロインコ,オトメズグロインコ,オトメズグロインコ,鳥類,no
3713,キノドニジフウキンチョウ,キノドニジフウキンチョウ,キノドニジフウキンチョウ,鳥類,no
3714,コビトモリチメドリ,コビトモリチメドリ,コビトモリチメドリ,鳥類,no
3715,アカエリシロチドリ,アカエリシロチドリ,アカエリシロチドリ,鳥類,no
3716,オオテンジクネズミ,オオテンジクネズミ,オオテンジクネズミ,哺乳類,no
3717,キンイロヒタキ,キンイロヒタキ,キンイロヒタキ,鳥類,no
3718,ニワムシクイ,ニワムシクイ,ニワムシクイ,鳥類,no
3719,アカコクジャク,アカコクジャク,アカコクジャク,鳥類,no
3720,クロクビムナジロヒメウ,クロクビムナジロヒメウ,クロクビムナジロヒメウ,鳥類,no
3721,シルバールトン,シルバールトン,シルバールトン,哺乳類,no
3722,キノドメジロハエトリ,キノドメジロハエトリ,キノドメジロハエトリ,鳥類,no
3723,ハダカシロアシマウス,ハダカシロアシマウス,ハダカシロアシマウス,NA,no
3724,コミミハネジネズミ,コミミハネジネズミ,コミミハネジネズミ,NA,no
3725,ヤシアメリカムシクイ,ヤシアメリカムシクイ,ヤシアメリカムシクイ,鳥類,no
3726,クロミミコビトリス,クロミミコビトリス,クロミミコビトリス,NA,no
3727,ミドリトゲオハチドリ,ミドリトゲオハチドリ,ミドリトゲオハチドリ,鳥類,no
3728,チャイロジネズミオポッサム,チャイロジネズミオポッサム,チャイロジネズミオポッサム,NA,no
3729,アカエリサボテンミソサザイ,アカエリサボテンミソサザイ,アカエリサボテンミソサザイ,鳥類,no
3730,セグロフクレヤブモズ,セグロフクレヤブモズ,セグロフクレヤブモズ,鳥類,no
3731,フサミミクサビオリス,フサミミクサビオリス,フサミミクサビオリス,NA,no
3732,ステップマーモット,ステップマーモット,ステップマーモット,哺乳類,no
3733,アフリカコビトリス,アフリカコビトリス,アフリカコビトリス,NA,no
3734,アカチャタネワリキンパラ,アカチャタネワリキンパラ,アカチャタネワリキンパラ,鳥類,no
3735,ミヤマアオヒヨドリ,ミヤマアオヒヨドリ,ミヤマアオヒヨドリ,鳥類,no
3736,メキシコサボテンミソサザイ,メキシコサボテンミソサザイ,メキシコサボテンミソサザイ,鳥類,no
3737,コノドジロムシクイ,コノドジロムシクイ,コノドジロムシクイ,鳥類,no
3738,アメリカヒバリシギ,アメリカヒバリシギ,アメリカヒバリシギ,鳥類,no
3739,アオマネシツグミ,アオマネシツグミ,アオマネシツグミ,鳥類,no
3740,ウオーレスズク,ウオーレスズク,ウオーレスズク,NA,no
3741,カオジロミズナギドリ,カオジロミズナギドリ,カオジロミズナギドリ,鳥類,no
3742,シッポウバト,シッポウバト,シッポウバト,鳥類,no
3743,アメリカヒレアシ,アメリカヒレアシ,アメリカヒレアシ,鳥類,no
3744,マダガスカルカンムリカワセミ,マダガスカルカンムリカワセミ,マダガスカルカンムリカワセミ,鳥類,no
3745,キンエリフウキンチョウ,キンエリフウキンチョウ,キンエリフウキンチョウ,鳥類,no
3746,クロエリメガネヒタキ,クロエリメガネヒタキ,クロエリメガネヒタキ,鳥類,no
3747,オオミミヨタカ,オオミミヨタカ,オオミミヨタカ,鳥類,no
3748,ネズミオシロメジリハチドリ,ネズミオシロメジリハチドリ,ネズミオシロメジリハチドリ,鳥類,no
3749,ムナフジチメドリ,ムナフジチメドリ,ムナフジチメドリ,鳥類,no
3750,ムジボウシノドフサハチドリ,ムジボウシノドフサハチドリ,ムジボウシノドフサハチドリ,鳥類,no
3751,ムナグロノジコ,ムナグロノジコ,ムナグロノジコ,鳥類,no
3752,ゴールデンモンキー,ゴールデンモンキー,ゴールデンモンキー,NA,no
3753,シマオナガカッコウ,シマオナガカッコウ,シマオナガカッコウ,鳥類,no
3754,セイキインコ,セイキインコ,セイキインコ,鳥類,no
3755,ハマジネズミ,ハマジネズミ,ハマジネズミ,NA,no
3756,カオジロガビチョウ,カオジロガビチョウ,カオジロガビチョウ,鳥類,no
3757,アカオツパイ,アカオツパイ,アカオツパイ,哺乳類,no
3758,タカネパプアチメドリ,タカネパプアチメドリ,タカネパプアチメドリ,鳥類,no
3759,コモンハイイロアラレチョウ,コモンハイイロアラレチョウ,コモンハイイロアラレチョウ,鳥類,no
3760,ウロコムジチメドリ,ウロコムジチメドリ,ウロコムジチメドリ,鳥類,no
3761,シロハラコビトウ,シロハラコビトウ,シロハラコビトウ,鳥類,no
3762,フサオデグー,フサオデグー,フサオデグー,NA,no
3763,ズグロムクドリモドキ,ズグロムクドリモドキ,ズグロムクドリモドキ,鳥類,no
3764,ハシマガリチドリ,ハシマガリチドリ,ハシマガリチドリ,鳥類,no
3765,ハイグロアリドリ,ハイグロアリドリ,ハイグロアリドリ,鳥類,no
3766,マミジロチリカッコウ,マミジロチリカッコウ,マミジロチリカッコウ,NA,no
3767,キミミヒメゴシキドリ,キミミヒメゴシキドリ,キミミヒメゴシキドリ,鳥類,no
3768,メンハタオリドリ,メンハタオリドリ,メンハタオリドリ,鳥類,no
